No,Case
274,سلام عليكم لو في 3 اطرف في قضيه الاول وتاني اخده فيه براء والتالت اخد حكم نهائي جنائي هل بيكون في حل ولو عمل نقض هل هيتم الموافقه علي النقض شكلا وموضوعا
275,سلام ناس الكل نحب نعرف الأورق اللزمة للpris en charge  كيف يبدا عمي باش يتكفل بيا . قلولي فما ورقة تتعمل عند محامي؟
276,بي صارحة مزال على نفس الحال انت جيث نشارك معاكم همي ونقسم معاكم احزاني انا متنفلاش ومتنكدبش وهدشي غير تقليد كون مكنتش نعاني من اكتئاب من وحدانية مغديش نقصدكم خوتي  قسما بالله تربي لي مطلع ماشي لخطري ماشي بيدي سلام عليكم انا متنكدبش عليكم تقلبت حياتي راسا علا عقب مبقيثيش عارف من راسي من رجلي واش انا  مزوج ام معدب ندمت على زواج وميجي من وراه هملت خدمتي وياربي لهلى يعطيك شي امراة متعجرفة متسوق ليك واي شاب او شابة متسرعوش حتى تعرفوا معامن اتعيشوا باش  ميطرش ليكم بحالي ما ولوا كل مرة مريضة ضرني الضرسة راسي حمقاء تع بصح اوفف مليث من هاد زواج وميجي من وراه بسببها وليت نشد لطورت تنمشي تل 180 في ساعة لعلى وعسى نرتاح من مشاكل ببسبها مبقيثيش تنعس بي مرة  تتشوف راسك  مزال شاب في اوسع العطاء وحمد لله رجل زوين مخسك حتى خير والف وحدا تمناك وهيا معدباك انا تنكتب وتنبكي  حسبتكم خوتي حول تدعي معيا باش نلقا مخرج او جيوو سولوو فيا مشي موشكيل لي بحالي في معناة يسول فيا لعلى وعسى تفدني ونفيدك قول كلام زوين ام حبس متهضريش الله يرحم الوالدين لي تتعيش نفس الضروف يترسل معيا في ميسنجر 
277,بنحاول نسعى لتقديم كافة التساهيل للطلاب   ممكن اشرحلك  لحضرتك المنصة التعليمية لى اهل القانون  والميزات الفيها والخدمات التوفر للطلاب كل التساهيلممكن اشرحلك اكتر عن المنصة التعليمة ولو  عند حضرتك وقتمنصة اهل التعليمة هيا منصة اليكترونية  الاشتراك ب450 جميع المواد   اون لاين  هتقوليلى ما النت هيخلص  اما اتفرج على الفيديوهات دى اقول لى حضرتك اشتراكك فى المنصة اول مرة ب نت وبعد كدا ممكن تدخلى المنصة فى اى وقت  من غير نت تقدرى تتفرجى على المحاضرات    غير ان الدكتور المتابع المادة فى تواصل مع حضرتك فى اى سؤال او اى استفسار
278,هو انا رافعه قضيه وحصل علاقه بيني بين زوجي هو كده يبقى حدث رجعه مع العلم اني دي الطلقه الثالثه
279,سلام عليكمحد يعرف (مكتب محاماة) مشهور و عنده امثله لنفس القضايا... يكون متخصص في قضايا العقارات حيث أني أشتريت شقة و عاوز اخذ فلوسي منهم اللي دفعتها نظرا ل تأخرهم في تسليم الوحدة المباعه ليا ل أكثر من سنة.. َعلما ب أن العقد المبرم فيه شرط جزائي... مع العلم اني كنت ماضي إيصالات امانه ل الأقساط َ....يا ريت يا جماعه اللي يقدر يفيدني بالخطوات القانونية الصحيحة للحصول علي اموالي منهم و المبلغ اللي دفعته وهل يمكن الحصول على تعويض إضافي غير الفلوس َََََ..... و هل الصحيح محضر في القسم ليهم كوسيلة للضغط ام دعوي مدني مباشرة.
280,ليا ٢ اخوات الكبير موظف حكومى و التانى بيقدم فى الجيش و كشف و معاه ١١٠ المشكله ان شهاده الجيش بتاعته اخويا الموظف مكتوب فيها انه هو ماجل لحد سن ٢٩ او زوال السبب او بلوغ اخوه ٢١ كونه العائل دلوقتى الشغل باعت عايز يجدد الشهادة و المنطقه بتقول لما اخوك يروح قوة اساسيه علشان يطلع اثبات تجنيد و تاخد الشهادهو الراجل اللى مسؤول عن الشهادات مصمم ان يحول اخويا الشؤون القانونيهفهو ايه موقفه لما يتحول شؤون قانونيه
281,اذا تم الزواج بعقد بواسطة محامي ب 2 شهود علي العقد و بعض اهل الزوجه و ليس جميعهم. هل يكون زواج حلال ؟ و هل هذا الزواج يسقط حقها في معاش والدها او زوجها السابق المتوفي ؟
282,مشاكل الميراث نصائح آتيه من ممارسة المهنة بخصوص الميراثمشاكل  الميراث والسبب ف كلمه واحده (الطمع) ومن الحالات المتكرره:1/عدم توريث البنات.                     2/استغلال بعض الورثه للإرث كمنزل مثلا دون الاخرين فيعترض علي اي قسمه .3/الفكر الخاطئ بان التقسيم سيفرق الورثه والحقيقه هي العكس .4/تصرف المتوفي بالبيع لاولاده قبل الوفاه وحرمان البعض أو التمييز.وطبعا هذا علي سبيل المثال *وأنصح بتقسيم التركات وانهاء حالة الشيوع لانه كلما مر الوقت سيزيد العدد وتتعقد الامور وتصبح القسمه مستحيله  ولا نقول (بيت بابا يتقسم؟!؟).ايوه يتقسم لان كل وريث وله ظروفه واحتياجه فلا نحرمه من مال امر الله به ونورث البنات ولا نجبرهن علي البيع بثمن بخس و بسيف الحياء
283,درت كسيدة او تهرست من ايدي او كقيدتش معاه او دابا كنحس براسي ضايع بغيت نعود نقيد معاه مصحوني
284,السلام عليكم بعد وفاة الاب هل يمكن البحث قانونيا عن وصية ؟
285,السلام عليكمازاي اقدم شكوي في موظف السجل المدني
286,السلام عليكم لو سمحتم عايزه استشير حضراتكم ⁦⁩دلوقتي انا لقيت واحده بتعمل حجات حرام و عرفت انها مرضه نفسيا فتواصلت مع اختها و قولتلها كل شئ و قولت بالشات انها كأنها فتاه ليل فلما اختها واجهتها هي سلطت عليه واحد يرن من ارقام غريبه فهددتها اني افضحها قصاد اسرتها فسكتت ⁦⁩انا كنت بحذف الرسايل ديه اول بأول بس ممكن يكونوا احتفظوا بنسخه اضافيه من كلامي بالشات في صوره   اسكرين شوت و حفظولي الصوتيات اللي بعتها بصوتي خاصه انه  ممكن يحذفوا رساله من اللي قولته بظون ما اعرف لان التليجرام بيتيح دهفممكن يبان اني بشتم و بهدد بدون سبب اساساو ممكن يكونوا سعوا بموضوع ااقضيه ده من فتره حديثي علي التليجرام و الواتس معاهم الله اعلم  سؤالي هو ممكن يقدموا فيه بلاغ تهديد او سب و قذف و ما الي ذلك ؟
287,الموضوع باختصار عقارين مدخل السلم مشترك مابينهم طوله 5 أمتار في 2.5 عرض  .. أحد العقارين عائلي والتاني صاحبه طلع منه واستثمره سكني لمعارفه بنيه تطفيش صاحب العقار الثاني العائلي وبوابه المدخل ال24 ساعه مفتوحه بسبب السكان  وده مسبب ضرر للعقار العائلي ده غير وسائل التطفيش الأخري  اللي بيستخدموها  من قمامه او قطع اسلكه الكهرباء وقبل كده تم التعدي علينا باسلحه بيضاء وعملنا محضر ولم يتم اخد اجراء وتم حفظه بالنيابه  ... وجبنا كبار العائله لفصل السلم ولكن بقي الوضع كما هو عليه السؤال .. هل في اجراء قانوني يقدر يحل المشكله دي بحيث يكون الفيصل لقسمه مدخل السلم
288,السلام عليكم لو سمحتوا أستشارة قانونية هل الحكم الغيابي يمنع من السفر ؟
289,نرحب بالرد ع كافة استفسارات السادة أعضاء الجروب الكرام .#مؤسسة_دارالقانون_لأعمال_المحاماه_والإستشارات_القانونية ٠١١٤٩٤١٠١٢١٠١٥٥٧٠٣٥٥٨٤
290,ضروري بسرعة لو سمحتومين محامي في جنوب سيناء او حتى لو برا جنوب سيناء بيترافع عن قضايا الأمن الوطني او أمن الدولة يعنيبس يكون محامي كويس
291,انا من سنة في شهر 8 الفات كانت بدور علي موبايل مستعمل روحت محل شوفت موبايل عجبني حطيت الشريحة بتاعتي فيه عشان اجربه عادي وبعد مجربته صاحب المحل قالي انه من غير كرتونة فا شكيت في الموبايل ومردتش اخده والموضوع عدي عليه اكتر من سنة المهم انهاردة لاقيت مباحث التليفونات بتكلمني وبتقولي علي الموبايل دا ان هو مسروق وان بياناتي انا الي اتسجلت عليه عشان حطيت شريحتي فيه المفروض اعمل ايه دلوقت عشان اشيل من عليه التهمة دي
292,لو سمحتم قريبي كان ماشي هو اخوه فظابط أو لجنه وقفتهم فالمهم اخوه كان عليه قضية فاخدوه هو وأخوه وفي البندر معرفش اي اللي تم غير انهم اتعملهم قضية تعاطي والغريبة أن قريبي دة مش بيتعاطي المهم خرجوا بكفالة ودفعوها . قريبي يتفاجأ أن طالبينه وإن القضية اتحكم فيها غيابي طيب مش المفروض يدخل يعمل معارضة ويطلع لا طبعا دة حبسينه لغاية ميعاد الجلسة طيب الجلسة امتي لسه متحددتش . طيب مخدوش اخوه معاه ليه يقولوا اصل ده دخل لوكيل نيابة ودة دخل لوكيل نيابة . طيب اخوه الجلسة بتاعته يوم 23 واكيد هو بعده . طيب اشمعنا قريبي جوه الحبس وأخوه بره يقولوا اصل قريبي اتحكمت عليه غيابي وهو مرحش . هل الكلام دة ممكن يكون صحيح . ارجو الافادة
293,#كيف_تعرض_المنقولات_الزوجية ؟؟يحضر الزوج امام المحكمة فى القضية المتهم فيها بتبديد المنقولات الزوجية ويطلب من القاضى عرض المنقولات الزوجية عرضا قانونيا وسوف يقرر القاضى يوم تالى اجلا لعرض المنقولات امام قسم الشرطة فى حضور خبير من المدرسة الفنية الصناعية قسم الاخشاب وفى حضور الشرطة وسوف يحدد القاضى جلسة اخرى لمعرفة ما تم بالعرض امام قسم الشرطة وما يتم يوم العرض إن الخبير يقارن ما هو معروض من منقولات زوجية من خلال الزوج بما هو مكتوب بقائمة المنقولات الزوجية الذى وقع عليها الزوج وقت زواجه باستلام هذه المنقولات كأمانة تحت يديهفإذا راي الخبير إن المنقولات كاملة او ناقصة وتم تقدير قيمة الناقص بمبلغ مالى وتم دفعه الزوج يقوم الخبير بعمل تقرير يثبت فيه ذلك ويوقع عليه من الزوجة بعد استلام منقولاتهابعدها يحرر امين الشرطة المتواجد بالعرض محضر يثبت فيه ما تم ويرفق به تقرير الخبير ويقيده امين الشرطة برقم احوال ويتم ارسال المحضر للمحكمة لارفاقه بالقضية الاساسيةثم يحضر الزوج بالجلسة الذى حددتها المحكمة لمعرفة ما تم من إجراءات اثناء العرض ويطلب البراءة والقاضى هيحكم بالبراءة طالما اثبت الخبير إنه سلم المنقولات كاملة #محمدمنصورالمحامى
294,السلام عليكم كي ينطق القاضي بحكم تاع قضية شحال باش نهز الحكم وشحال من مرة يقدر المتهم يكسر الشرع
295,السلام عليكم عند سؤال من فضلكم كي نشري دار عقد بصح عنها الشرط تاع العامين    كيفاه تتكتب عند النوثق و يقدر مولاها يدور في رايو و يردها باسمو؟ وكي يكملو العامين كيفاه تولي طول باسمي ولا كاين حوايج لازم نديرهم ياريت تفيدوني فالموضوع وشكرا
296,السلام عليكم الاخوة المحامين الافاضلمدرس خرج عالمعاش ولكن مكان عمله كان جزء بدمنهور اول التعيين والجزء الاخير الاسكندرية مكان محل الاقامة  بقرار نقل ولكن لم ينقل الملف هل رصيد الاجازات تطلب من فض المنازعات بمحل الاقامة وبمكان اخر العمل ولا لازم فى مكان الملف وهل رفع قضية للمطالبة بمقابل رصيد الاجازات بمجلس الدولة بالاسكندرية ام دمنهور وشكرا
297,الفرق بين الجريمة المادية والجريمة الشكلية
298,عندنا بيت ورث وعليه نزاعات ايه راى حضراتكو فى رفع قضيه بيع فى المزاد العلنى هل هيقلل من سعر البيع ولا لا
299,●مبدأ المساواة أمام القانون:-↯المساواة أمام القانون مبدأ سامي وهو يطبق على أوسع نطاق وفي مختلف المجالات وله أهميته فقد نص عليه في الدستور اليمني في المادة (٢٥) نصت( يقوم المجتمع اليمني على أساس التضامن الاجتماعي القائم على العدل والحرية والمساواة وفق القانون) ونصت المادة (٤١) المواطنون جميعهم متساوون في الحقوق والواجبات العامة . وفي مجال التقاضي فإن إعماله من الضروريات اللازمة لسير الخصومة وأن العلم بأصول التقاضي وأوضاعه ليس متاحاً لكل من يضطر إلى دخول باب القضاء ومن ناحية أخرى إذا كان القضاء اقتناعا بالحق في جانب بعض الخصوم فإن مقدرة الخصوم على عرض وجهات نظرهم على نحو مقنع أمر يتفاوتون فيه إلى مدى بعيد لعدم استيعابهم للقوانين النافذة وضعف مستوى الوعي القانوني لديهم ، لذلك اقتضى تسيير التقاضي على ضرورته ودقة إجراءاته إباحة الاستعانة بمتخصصين في معرفة تلك الأصول والأوضاع واقتضى الحرص على تحقيق مبدأ المساواة أمام القانون بين الخصوم في حين عرضهم لوجهات نظرهم وعلى القضاء إباحة الاستعانة بمتخصصين في علم القانون وفن البيان لأنهم أقدر على حسن عرضهم لوجهي الخصومة ودقة مناقشتهم للواقع والقانون فيها لقد اهتم قانون المرافعات اليمني بهذا المبدأ ضمن المبادئ الأخرى الحاكمة في القضاء والتقاضي وإلزام القاضي بإعمال مبدأ المساواة بين الخصوم في هذا الحق متقيداً بذلك بالشريعة الإسلامية والقوانين النافذة والدستور ذلك أن المتقاضون متساوون في ممارسة حق التقاضي(٦٦) من هذا القانون كما ألزم القانون القاضي أن يسوي بين الخصوم في مجلس قضائية وذلك خلال سير الخصومة وحتى صدور الحكم في القضية ومن مظاهر المساواة في التقاضي ألزم القانون القاضي بالامتناع الوجوبي عن نظر الدعوى/الخصومة والتنحي عن نظرها من تلقاء نفسه ولو لم يطلب الخصوم ذلك في أحوال عديدة جددتها المادة (۱۲۸) على سبيل الحصر وذلك تجسيداً لمبدأ المساواة بين الخصوم وهكذا الحال في الامتناع الجوازي عند طلب رد القاضي في الأحوال والحالات المحددة في المادة (۱۳۲) من قانون المرافعات والتنفيذ المدني وأن على القاضي أن لا يتذمر من طلب رده إذا وجدت الأسباب والمبررات لأعمال هذه الأحكام وفقاً للإجراءات المنصوص عليها في القانون .●كما إن قانون الإجراءات الجزائية رقم (١٣) لعام ١٩٩٤م قد اهتم هو أيضاً بمبدأ المساواة بين الخصوم ونصت المادة (٥)بأن المواطنون سواء أمام القانون ولا يجوز تعقب إنسان أو الأضرار به بسبب الجنسية أو العنصر أو الأصل أو اللغة أو العقيدة أو المهنة أو درجة التعليم أو المركز الاجتماعي كما اهتم القانون الإجرائي الجزائي في سبيل تحقيق مبدأ المساواة بين الخصوم قد أفرد عدة نصوص تتعلق بأحوال التنحي والرد والمخاصمة للقضاة وذلك لضمان نزاهة القضاة واستقلاليته وحياده بحيث تكون الأعمال الإجرائية وتسيير الخصومة سليمة وصحيحة لا يشوبها أي عيب وقد نظم هذا القانون أيضاً المساواة في حق الإثبات حيث تناولت المواد (٣٢٦،٣٢٥،٣٢٤) بشأن الحق في تقديم الأدلة ومناقشتها وطلب فحصها وكل الطلبات المتعلقة بالإثبات في الواقعة المنظورة بحيث يعاون هذا الدليل على كشف الحقيقة وغيرها من المسائل .المحامي رياض الدريبي
300,سلام تام أحلم بالهروب من المغرب
301,سلام محبة لجميع الاحبهارجو من اساتذتى وزملائى مساعدتى فى كتابة عريضة قضاء ادارىبشأن تخطى تعيين مجلس دولهوالاوراق المطلوبه...لو فى اى صور او استرشادات...وعندى سؤال لو لجنة فض المنازعات كان ردها عدم الاختصاص واخدت شهادة بكدهفهل كده ارفع الدعوى عادى بناء ع هذا الردولا كده لازم اعرضها ع لجان اخرى؟شكرا
302,لوسمحتم  معروض عليه شقه للبيع   ٢٥٠ الف صاحبتها  عايزها كاش وانا  اقترحت عليها ادفع ٥٠ الف والباقي بعد شهرين ونص   عشان انا عامله  شهادة وتنتهي بعد شهرين ونص صاحبتها  قلقانه للي انا قعد في شقه  وماادهاش باقي المبلغ انا قولتها ممكن نضيف بند  انا مااستلمش الشقه اللي بعد سداد   باقي المبلغ المده المحدده هل البند ده  لواضف في العقد ابتدائي  في ضرر عليه جازاكم الله خيرا
303," قضية سلاح في حالة تلبس، والمحكمة ادانت المتهم معتمدة على شهادة الضابط، وقالت انها اطمئنت إلى شهادة الضابط، والتي حصلّت شهادته انه قال ""انا شاهدت المتهم وهو يحمل جوالاً يظهر منه ماسورة لسلاح ناري"". وبالتالي يكون المتهم في حالة تلبس، تجيز للضابط القبض عليه وتفتيشه.  المحامي طعن بالنقض - وقال ضمن اسباب الطعن - ان المحكمة تدخلت في رواية الشاهد، لان الشاهد لم يقل انه شاهد (ماسورة لسلاح ناري) لكنه قال نصاً: ""انا شاهدت المتهم يحمل جوالاً بلاستيكياً تبرز منه ماسورة حديدية، فقمت بضبطه، وبفض الجوال عثرت على السلاح الناري"". اذن الضابط شاهد ""ماسورة حديدية"" ومشاهدة المتهم يحمل ماسورة حديدية لا يتوافر به حالة التلبس؛ ومن ثم فان تفتيش المتهم وقع باطلاً، ويترتب عليه بطلان كل ما نتج عنه من أدلة، ومنها ضبط السلاح الناري. وبالتالي تكون المحكمة قد تدخلت في رواية الشاهد، لكي تبرر ما خلص له الحكم من مشروعية القبض والتفتيش. فمحكمة النقض نقضت الحكم لهذا السبب، مع مصادرة السلاح الناري المضبوطد محمد الصادق"
304,لو سمحتلو حد حصلو عاهة مستديمة بنسبة 25٪مع سبق الإصرار والترصدممكن اعرف اللي عمل فيه كدا ياخد حكم قد ايهوقضية التعويض تكون ف حدود كام
305,انا عملت تحري عن المدعي عليه في دعوى نفقة لمعرفة مفردات المرتب عن طريق الشغل بتاعوا وطلعت 9000 جنية وطلعت كمان انو كان اجازة بدون مرتب بسبب انه مسافر مرافق لزوجته التي تعمل في دولة ...... ودة اتكتب في المفردات اللي انا استلمتها من جهة عمله وتحري القسم قال انه يعمل في هذه الدولة هل كدة في مشكلة او تناقض وهل القاضي ممكن يحكملنا بنفقة كويسةولا ممكن يعتبروا انو مش بيشتغل ولا ممكن يحولها للتحقيق
306,لو سمحت عايز اعرف لو صاحب البيت عملى قضيه طرد ولا لاء
307,السلام عليكمممكن استشارة من محامي عقارات وقوانين الايجار ضروري
308,_ ما هى أركان الجريمة؟في الاول كده علشان نكون متفقين اي جريمة  في العالم بتحصل لازم يكون ليها ركنين ركن مادي وركن معنوي وأي جريمة مهما كانت جسامتها وخطورتها لا بد من أن تتوفر فيها أركان أساسية لا تقوم من دونها، بل يجب أيضا أن تتوفر هذه الأركان مجتمعة حتى تتصف بالجريمةوهذه الأركان هي؛1_ الركن القانونيهذا الركن مستمد من مبدأ لا جريمة ولا عقوبة إلا بنص، ويقصد بذلك وجود نص في القانون يجرم الفعل الذي ارتكبه الشخص حتى تقوم مسؤوليته الجنائية، ومن ثم إيقاع العقوبة المناسبة عليه، ويعد هذا الركن مفترضًا دون الحاجة إلى ذكره. 2_ الركن المادي::وهو الفعل أو السلوك الذي يقوم به الشخص ويجرمه القانون الجنائي ويرتب على القيام به عقوبة، ولهذا الركن ثلاثة عناصر أوّلها الفعل الجرمي وثانيها الأثر الجرمي الذي نتج عن الفعل الجرمي، وأخيرا العلاقة السببية وهي التي تربط الفعل الجرمي بالنتيجة التي حصلت أي لولا الفعل لما حدثت الجريمة. _ الركن المعنويوهو الركن المرتبط بإرادة الجاني ونيته، أي أن يكون الجاني حرا مختارا للقيام بجريمته، دون أن يكون تحت تأثير أي إكراه أو إجبار#ثقافة_قانونية
309,السلام عليكم، اختي شايلة مبلغ معايا حطيتهم شهادة في البنك في حسابي، عايزة اعملها ورقة تثبت حقها في فلوسها في حالة وفاتي لا قدر الله. ايه احسن طريقة قانونية اعمل بيها دة؟ شكراً
310,واش نلقا هنى شي محامي
311,ي اخوانا قضايا الورثه بعد البيع واعلام الورثه التوزيع باخد زمن كتير ولا في جرجره ارجو الافاده
312,ان شاء الله متواجد غدا الخميس ٢٠٢٢/١١/١٧محكمة النقضفي مساعده اي استاذ زميل مقابل مادي بسيط في احتياجه للاعمال الاداريه هناك. او اي عمل اخر من اعمال المحاماه.
313,صديقة ثم حبيبة ثم خطيبة ثم زوجة  ثم خلع ثم تبديد منقولات ثم نفقة ثم حبس ثم تمكين مسكن زوجية ..
314,الطلاق للشقاق أو لإستحكام الخلاف الزوج لو أرسل إنذار بالطاعة للزوجة .. والزوجة عملت إعتراض علي الإنذار ..بس طلبت التطليق_للشقاق ،هنا موقف دعوي الطاعة بيتغير تماما ..ودا راجع لان المحكمة لازم تنظر دعوي الطلاق مع الطاعة وغالبا الحكم بيكون واحد من الاحكام دي مثلا :• تطليق الزوجة للشقاق مع حرمانها من كافة حقوقها .• تطليق الزوجة للشقاق مع إحتفاظها بكافة حقوقها .• تطليق الزوجة للشقاق مع حرمنها من نصف حقوقها .فلو الزوجة  كانت معندهاش سبب محدد لطلب الطلاق للضرر ، هنا في التطليق للشقاق من المحتمل إنها تاخد بعض الحقوق ودا حسب تقرير الخبيرين ..
315,السلام عليكم هل الأشخاص المطلقين عن طريق المحكمه سوا طلاق أو خلع لا تظهر قسيمه الطلاق ف السجل المدني حتي لو تم الطلاق من فتره محتاجه رد ضروري
316,السلام عليكم اخوتي في الله بغيت نسولكم انا بغا ندفع النفقة على طليقي حيت مكيخلص حتا درهم دبا دازت عامين بشحال نفتح القضية عفاكم وواش فيها شي ضريبة لي عندو الجواب يرد عليا وشكرا
317,الى كاين شي مسؤل هنا يقرى هدشي الله يحفظكم انا خويا رماو عليه لبطل بعض رجال درك في   وغبروه في لحبس ضلم سلا المدة سجنية ودبا مشدود على حساب الجمارك مشدو عندو ولو غي من لعبو في لمحاضر راه كرفسونا وحنا ناس فقراء درولو غرامة كبيرة وشدينو على ولو  االى كاين شي حل باش يتعفى فيدونا  باش يتعفى من الغرامة الله يخد فيهم الحق لمهم اخوتي لي عارف شي حاجة باش يفيدنا ويتعفى خويا من غرامة الجمارك الله يرحم الولدين ملين داك سم لي شدوه هربو ومسحوها فينا حسبي الله ونعم الوكيل فيهم
318,كنت بشتري شقة في الدور التاسع في عمارة مخالفةوهي داخلها عداد كهربا وصاحبها مقدم في التصالح ودافع مرحله أولى وعرض الشارع ٨ مترفهل في حاجه تخوف في الموضوع ده؟
319,سلام عليكم انا جزائري وعندي الزوجة مغربية اذا كتب الله فقط اريد استشارة قانونية شروط وضوابط العقد المدني فالمغرب وهل وجب استخراج رخسة الزواج للزوجة
320,كيف تنشأ الإتفاقية بين البلدية والمحامي ( شروطها .........).
321,السلام عليكممن فضلكم ممكن الإفادة الزوج مسافر خارج البلاد والزوجة تركت البيت هل متاح من ينوب عنه بعمل طلب انذار  بالطاعة ؟وهل متاح من ينوب عنه بتحرير محضر بواقعه  خروجها من المنزل وأنها اخذت الذهب ومبلغ مالي وتفاصيل  الواقعه ؟ المحضر بغرض المدافعه علي نفسه عند رفع اي قضايا عليه واثبات حالة بأنها خرجت بالذهب  •هل تأخير تحرير المحضر يأثر سلبا علي ضمان حق الزوج ؟وعند تحرير المحضر من الافضل اتوجه لقسم الشرطة ام اتوجه لمكتب محاماه لعمل مذكرة ؟
322,السلام عليكمشقة والدي تم قسمتها بيني و بين اخويا لشقتين و في عقد قسمة بذلك انا دلوقتي عايز اعرف وضع الشفتين ايه بالنسبة للقانون و الحكومة و عايز اقننها علشان ادخل مرافق ليها ايه الاجراءات
323,سلام نفقة الاصول بالضبط الام شحال هو نصيب ديالها من مدخول ابنها الثلث ام كم ؟؟؟ في القانون المغربي  ؟؟؟
324,استفسار ارجو الرد انا خريج ثانيه ازهرية غاوز ادخل ا حول من  كليتى لكلية تربيه بس قلولى مينفعش علشان  الكلية مبتقبلش غير الجدد والعاملين اختبار قدرات مع انى جايب مجومعها ينفع ارفع قضيه وادخلها؟
325,مطلوب علي وجه السرعة محامي فني خبرة في كتابة وصياغة المذكرات محامي استئناف محامي إبتدائي مكتب المستشار الدكتور محمد محمود أبوشنب للمكتب الكائن / ارض الجولف - مصر الجديده  ( المكتب صباحي )للمقابلة وتحديد ميعاد يرجي التواصل علي /٠١٠٠٧٧١١٧٢٩
326,ان شاء الله متواجد غدا الخميس  ٢٠٢٢/١٢/١و السبت ٢٠٢٢/١٢/٣محكمة النقضمحكمةمحكمة عابدين في مساعده اي استاذ زميل مقابل مادي بسيط في احتياجه للاعمال الاداريه هناك. او اي عمل اخر من اعمال المحاماه.
327,شي كونطاك محامي ولا محامية من شفشاون
328,السلام عليكم بعد اذن معاليك عايز اعرف ايه الإجراء اللي ممكن يتعمل انا اكتشفت بالصدفه أن طليقه اخويا متجوزه من المحامي بتاعها عرفي والاولاد طبعا في حضانتها ورافعين علي اخويا قواضي نفقات بجميع انواعها والاستئناف خلص في آجر المسكن وأجر الحضانه وفاضل جلسه واحده في  استئناف  نفقه مأكل وملبس ويبقي كده قواضي النفقات بجميع انواعها خلصت  لسه عارف بالصدفه موضوع جوزها العرفي وعرفت كمان انو تم قبل تاريخ رفع القواضي ايه الإجراء القانوني اللي المفروض نتخذه ضدها لاسقاط الأحكام اللي خدتها بالكذب والتدليس وتضليل المحكمه لان المفروض المطلقه لو اتجوزت عرفي او رسمي مش من حقها حضانه الاولاد ولا ترفع نفقات حضانه الاولاد والحضانه كانت بتنتقل لامها وامها اللي مت حقها تطالب بتفقات الاولاد مش هي والان بعد التعديل الحديد أصبح ترتيب التاني بعد الام في الحضانه ما الإجراءات التي من حقنا أن نفعلها لاسقاط هذه الأحكام المضللة هل يوجد امكانيه لالغاء هذه الاحكام  وإسقاط الحضانه عنها ونثل الحضانه للاب وخصوصا انها أحكام نهائيه واكيد محاميها هيجري يرفع جنحه عدم دفع متجمد نفقات
329,صوره من حكم استئناف اتوقف وقف حزئي وعدت المده واتعمله تعجيل من الزوجه   علشان ياخد باعتبار الاستئناف كأن لم يكن ده بيكلف كام رسوم
330,صباح الخير ربنا يوفق الجميع يارب
331,مساء الخير عليكم  صراحة اتعرفت لي مع بت في مواقع التواصل فيس بوك وقالت شغال قلت ليها شغال ايقالت لي شغال شنو قلت ليها كدا وكداوقالت لي هم برضو شغالين تسويق إلكترونيوقالت لي بيصرفوا بالدولار قلت ليها ممكن تشوف لي مجال معاكقالت لي طوالي وطلبت من الرقم رسلت ليهااتصلت لي قلت ليها طيب الشغل كيف وكيفقلت لي ما تقدر توضح لي بالمكالمة إلا نتلاقىقالت  لي هي بتشرح لي وتاني في  غيرها تشرح لي الشغل أكتر   يعني عندهم مقر عديل قالتوقالت طوالي نجي بكرة  تجاه بري قالت لي وعندهم في عربي وقلت ليها م ممكن نتلاقى في السوق ولا كدا تشرح لي أبت قالت إلا هناك  وأنا ما حصل يوم شفتها ولا هي شافتني  قلت نستشير أراكم قبلي ما نمشيفعلا خايف تحصل شيء ما متوقعهاموضوع جد م مضحك واللهالعفو والعافية 
332,في محضر كان معمول فيا من شهر واللي عامل المحضر قال هيخلي المحامي بتاعه اللي عمل المحضر يتنازل اعرف ازاي رقم المحضر وأتاكد  ازاي أن اللي عامل المحضر أتنازل
333,سلام عليكم نحوس نسقسي محامي او شخص يعرف في قانون عندي اختي كانت دايرة خلع زوجها. لان طلب منها اجهاض جنينها. ولم. تبقى جلسة واحدة وبعدها يصدر حكم طلاق. تصالحت مع زوجها. وتنزلت عن خلع. وذهبت مع زوجها لكنه لم يتغير  وليس متحمل مسوليته تجاه ابنته ولا يعاملها بحسنة. هل تستطيع   مخالعته مرة اخرى او لا. جواب بدون كلام زائد وبارك الله فيكم خاوتي
